Movie,Genre,Production_Budget,Total_Domestic_Box_Office,Rating_IMDB,Location,Value,Year
Avatar,Action,425000000,760507625, 8.0, Fantasy,360507625,2008
The Blind Side,Drama,35000000,255959475, 7.6, Asian,260507625,2009
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,291710957, 6.9, Fantasy,160507625,2010
The Dark Knight,Action,185000000,533345358, 9.0, West,760507625,2011
ET: The Extra-Terrestrial,Drama,10500000,435110554, 7.9, West,460507625,2012
Finding Nemo,Adventure,94000000,380529370, 8.1, Fantasy,560507625,2013
Ghostbusters,Comedy,30000000,238632124, 7.8, West,660507625,2014
The Hunger Games,Thriller/Suspense,80000000,408010692, 7.2, West,860507625,2015
Iron Man 3,Action,200000000,396702239, 7.6, West,960507625,2014
Jurassic Park,Action,63000000,395708305, 8.0, West,350507625,2013
King Kong,Adventure,207000000,218080025, 7.3, West,400507625,2012
The Lion King,Adventure,79300000,422780140, 8.4, Fantasy,190507625,2011
"Monsters, Inc.",Adventure,115000000,289423425, 8.0, Fantasy,100507625,2010
The Twilight Saga: New Moon,Drama,50000000,296623634, 4.5, West,230507625,2009
Oz the Great and Powerful,Adventure,200000000,233671832, 6.6, Fantasy,550507625,2008
Pirates of the Caribbean: Dead Man's Chest,Adventure,225000000,423315812, 7.3, Fantasy,220507625,2008
Quantum of Solace,Action,230000000,169368427, 6.7, West,500507625,2009
Raiders of the Lost Ark,Adventure,20000000,248159971, 8.7, Fantasy,230507625,2010
Star Wars Ep. I: The Phantom Menace,Adventure,115000000,474544677, 6.5, Fantasy,720507625,2011
Titanic,Thriller/Suspense,200000000,658672302, 7.6, West,440507625,2012
Up,Adventure,175000000,293004164, 8.3, Fantasy,350507625,2013
The Vow,Drama,30000000,125014030, 6.7, Asian,290507625,2014
The War of the Worlds,Action,132000000,234280354, 6.5, Asian,340507625,2015
X-Men: The Last Stand,Action,210000000,234362462, 6.8, Fantasy,400507625,2015
You've Got Mail,Drama,65000000,115821495, 6.3, Asian,380507625,2014
Zookeeper,Romantic Comedy,80000000,80360866, 5.0, Asian,290507625,2013
